"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2013","-108.75","55.1083984375","541","-1.79700000000003","-5.99700000000001","1.8110277504","5.98294136357678","0.968264850972039","1.659170805588",
"1/2/2013","-108.75","55.1083984375","541","-4.238","-9.02600000000001","0.546741594","5.02156359412718","0.946209570357522","3.246827992776",
"1/3/2013","-108.75","55.1083984375","541","-0.880999999999972","-5.93900000000002","0.0102996756","5.10470597466258","0.953496953661322","3.530258109612",
"1/4/2013","-108.75","55.1083984375","541","-6.17899999999997","-12.518","0.311565384","1.95686009520068","0.938974067800806","2.2984592265",
"1/5/2013","-108.75","55.1083984375","541","-4.38099999999997","-10.982","0.4197120264","3.23496196754383","0.963211928531319","2.25827076492",
"1/6/2013","-108.75","55.1083984375","541","-4.84500000000003","-8.22199999999998","1.6385075064","2.75366353277727","0.966970425289739","1.768674146616",
"1/7/2013","-108.75","55.1083984375","541","-5.86900000000003","-10.453","0.6978033","3.75818688201721","0.95355577890539","2.807756630784",
"1/8/2013","-108.75","55.1083984375","541","-6.94600000000003","-11.183","1.630782504","3.0610022920035","0.94290373738855","2.454824415132",
"1/9/2013","-108.75","55.1083984375","541","-7.40499999999997","-10.759","1.40762322","2.98056366489354","0.950541207625779","2.061316044288",
"1/10/2013","-108.75","55.1083984375","541","-11.962","-30.128","0.3828049704","3.50737954866216","0.810059263347154","3.98512634274",
"1/11/2013","-108.75","55.1083984375","541","-16.892","-33.951","0.0188827524","2.65121217626247","0.791591279789831","4.10645731788",
"1/12/2013","-108.75","55.1083984375","541","-16.712","-21.845","0.030899034","3.24878146269053","0.836029179462498","3.9218043833244",
"1/13/2013","-108.75","55.1083984375","541","-20.708","-28.936","0.0085830624","2.24064571376776","0.781619239089577","4.443836132952",
"1/14/2013","-108.75","55.1083984375","541","-7.88999999999999","-27.212","0.8171082","3.00190335869776","0.873887706732918","2.661813482436",
"1/15/2013","-108.75","55.1083984375","541","0.625999999999976","-9.94099999999997","3.124237428","3.55185396160137","0.971108108244573","1.585049447232",
"1/16/2013","-108.75","55.1083984375","541","-10.476","-22.306","1.009368396","2.87285576038674","0.877868906818621","3.86785317204",
"1/17/2013","-108.75","55.1083984375","541","-12.96","-29.158","2.8907791812","3.05260132017478","0.856648804770509","2.221470374724",
"1/18/2013","-108.75","55.1083984375","541","-12.947","-16.382","3.716469","3.31651586608713","0.892085931629443","1.9448006875344",
"1/19/2013","-108.75","55.1083984375","541","-16.835","-27.39","0.4995347328","3.54700034865578","0.783603901514937","4.555856168676",
"1/20/2013","-108.75","55.1083984375","541","-26.113","-30.115","0.0772476156","4.37876135661829","0.747860484285435","4.898523349908",
"1/21/2013","-108.75","55.1083984375","541","-18.554","-28.231","0.0274658184","2.05123670935227","0.773752997101574","3.282404232528",
"1/22/2013","-108.75","55.1083984375","541","-19.425","-25.014","0.1338959088","3.03540077560373","0.799001130453893","4.95749433762",
"1/23/2013","-108.75","55.1083984375","541","-21.783","-34.157","0.1682283168","2.90697343020426","0.769953632572083","4.1001321635064",
"1/24/2013","-108.75","55.1083984375","541","-18.494","-27.892","5.4193508532","2.78647868049574","0.802475557375836","3.3085386283716",
"1/25/2013","-108.75","55.1083984375","541","-8.77999999999997","-20.34","0.2952575424","3.35905142436849","0.900459153428992","3.1462096161996",
"1/26/2013","-108.75","55.1083984375","541","-4.82100000000003","-8.80599999999998","0.4652023968","2.34965895682064","0.968331635344319","3.224740013532",
"1/27/2013","-108.75","55.1083984375","541","-4.959","-10.858","0.2901074076","2.17010082301122","0.937083321025926","4.88378851254",
"1/28/2013","-108.75","55.1083984375","541","-6.899","-19.717","2.453040576","2.5987991063794","0.929099450790623","2.8010746211904",
"1/29/2013","-108.75","55.1083984375","541","-20.928","-35.467","1.4162062536","4.5200721876755","0.744878064306811","5.4472011723",
"1/30/2013","-108.75","55.1083984375","541","-30.073","-35.711","0.4480365276","2.2367471403306","0.724666377059718","6.007803834996",
"1/31/2013","-108.75","55.1083984375","541","-22.254","-39.106","0.1081466676","2.77048562404841","0.754172753958932","5.9297868276552",
"2/1/2013","-108.75","55.1083984375","541","-7.76100000000002","-23.794","1.2462617376","2.27544830848776","0.848619279613633","4.334734358388",
"2/2/2013","-108.75","55.1083984375","541","-5.93900000000002","-23.837","1.241111952","3.63552320568989","0.867449978509319","5.9502362393052",
"2/3/2013","-108.75","55.1083984375","541","-15.27","-20.41","2.11486806","2.0995848075889","0.841567055046625","4.895815776696",
"2/4/2013","-108.75","55.1083984375","541","-11.992","-15.111","6.698227716","2.50870289057194","0.906059874724247","2.397285558936",
"2/5/2013","-108.75","55.1083984375","541","-8.75999999999999","-18.148","0.748444248","1.7392736571944","0.928325051191941","5.4906612201504",
"2/6/2013","-108.75","55.1083984375","541","-10.479","-22.662","0.6248475864","2.5274619924519","0.850438591787788","5.543261054496",
"2/7/2013","-108.75","55.1083984375","541","-5.78100000000001","-10.953","1.20677886","2.82619287344039","0.951930869826503","5.098878034056",
"2/8/2013","-108.75","55.1083984375","541","-4.291","-9.53399999999999","0.561332556","3.34487201881656","0.962002636822345","4.663387507896",
"2/9/2013","-108.75","55.1083984375","541","-0.795000000000016","-10.595","4.191970392","4.65437029821631","0.967833144099322","3.49314222428028",
"2/10/2013","-108.75","55.1083984375","541","-10.994","-18.568","0.40168764","3.81893551197254","0.903205910845726","7.170784525044",
"2/11/2013","-108.75","55.1083984375","541","0.355999999999995","-11.487","0.3501890496","5.62120280049372","0.965835584542549","5.930245888488",
"2/12/2013","-108.75","55.1083984375","541","-0.803999999999974","-2.93200000000002","1.084900212","3.7316130122234","0.97662580470096","6.12885368988",
"2/13/2013","-108.75","55.1083984375","541","-1.79500000000002","-11.129","3.690719676","3.13663878822702","0.971353477935661","4.894753949892",
"2/14/2013","-108.75","55.1083984375","541","-7.18000000000001","-14.443","0.6351467544","2.3235809937707","0.921933430946554","5.761896635088",
"2/15/2013","-108.75","55.1083984375","541","0.394999999999982","-13.445","0.7278444","4.14697268545499","0.960605744562879","4.38004471446",
"2/16/2013","-108.75","55.1083984375","541","0.387","-0.146999999999991","0.940704048","3.11055333282292","0.99264123230497","2.7716688406116",
"2/17/2013","-108.75","55.1083984375","541","-0.180000000000007","-17.954","1.843643916","4.20091752004235","0.944271629943792","5.57524728162",
"2/18/2013","-108.75","55.1083984375","541","-16.701","-25.507","0.1785278304","2.86090208263875","0.815779840878782","8.75410325341884",
"2/19/2013","-108.75","55.1083984375","541","-15.801","-21.976","0.7965091296","5.26316706601374","0.820319939686851","7.425288473544",
"2/20/2013","-108.75","55.1083984375","541","-13.12","-19.149","0.920104884","3.82509748499039","0.860209075737605","7.27408648692",
"2/21/2013","-108.75","55.1083984375","541","-8.745","-16.597","0.2506255776","4.54429226520871","0.906167658355163","8.687685713688",
"2/22/2013","-108.75","55.1083984375","541","-5.553","-13.157","0.537300036","4.12922129447851","0.943211673643494","7.1464464799632",
"2/23/2013","-108.75","55.1083984375","541","-1.88099999999997","-7.851","1.002502368","2.62497709384433","0.967128256516677","6.480898583184",
"2/24/2013","-108.75","55.1083984375","541","-2.85599999999999","-8.58600000000001","0.604247904","3.64565916412037","0.967065220103911","7.5311996556276",
"2/25/2013","-108.75","55.1083984375","541","-1.44099999999997","-9.15199999999999","0.2368926288","2.83988029784852","0.963860340203831","9.6870754258236",
"2/26/2013","-108.75","55.1083984375","541","-6.11099999999999","-15.423","0.333023184","1.67439269379046","0.941292650867664","7.477174113948",
"2/27/2013","-108.75","55.1083984375","541","-5.91500000000002","-14.642","0.518417784","3.86654866722066","0.937647514425176","8.19880563384",
"2/28/2013","-108.75","55.1083984375","541","-3.399","-7.80099999999999","0.751877064","3.58673854188669","0.968593725069455","7.4213318850624",
"3/1/2013","-108.75","55.1083984375","541","0.358000000000004","-5.58300000000003","0.4257204048","4.96544446638759","0.975266369686554","6.24968663055192",
"3/2/2013","-108.75","55.1083984375","541","-0.737000000000023","-8.87799999999999","0.2094268968","2.2437152606471","0.963641975413412","9.824583929382",
"3/3/2013","-108.75","55.1083984375","541","-2.51799999999997","-6.44","1.874541888","3.16707543983177","0.97015169141715","5.723440589214",
"3/4/2013","-108.75","55.1083984375","541","-6.17599999999999","-10.281","1.44023904","2.04869925634115","0.951569991220322","8.14776672988512",
"3/5/2013","-108.75","55.1083984375","541","-4.78399999999999","-10.861","0.789642252","3.31864575732046","0.944229356101831","8.463546140616",
"3/6/2013","-108.75","55.1083984375","541","-5.96800000000002","-11.36","0.820541232","3.03475227079548","0.939844782612851","8.9391421329156",
"3/7/2013","-108.75","55.1083984375","541","-12.233","-23.818","0.492668208","2.76133461092102","0.843183312449712","11.747608676856",
"3/8/2013","-108.75","55.1083984375","541","-6.44799999999998","-20.836","0.8514401328","3.58228221015689","0.891304016588622","9.2933540463996",
"3/9/2013","-108.75","55.1083984375","541","-7.18599999999998","-13.33","0.642013812","2.37081846320615","0.928850266049006","11.467013063472",
"3/10/2013","-108.75","55.1083984375","541","0.656999999999982","-9.35199999999998","0.9647365608","4.69737306914953","0.972609842188454","9.964866016116",
"3/11/2013","-108.75","55.1083984375","541","-1.43700000000001","-15.995","1.4179233528","4.79873767476824","0.932971646206201","10.523857994388",
"3/12/2013","-108.75","55.1083984375","541","-3.07499999999999","-20.874","0.272941506","3.53953637862025","0.928488587001889","11.697222505536",
"3/13/2013","-108.75","55.1083984375","541","-5.19299999999998","-14.173","2.787781464","3.05600992166575","0.938050726817676","7.7726751439536",
"3/14/2013","-108.75","55.1083984375","541","-14.933","-21.746","0.4806517464","3.77070176217672","0.825925015595095","13.1374655062308",
"3/15/2013","-108.75","55.1083984375","541","-14.94","-20.832","2.97317484","2.4773802474944","0.824505462787689","10.113819241824",
"3/16/2013","-108.75","55.1083984375","541","-16.798","-33.976","0.5630495544","2.39392666145947","0.798184318753095","14.178544500096",
"3/17/2013","-108.75","55.1083984375","541","-14.04","-26.676","0.727844652","2.19609098559722","0.827993097817733","13.1978117762676",
"3/18/2013","-108.75","55.1083984375","541","-10.809","-23.108","0.4137039","2.55580291260032","0.847215180147817","13.5148544216244",
"3/19/2013","-108.75","55.1083984375","541","-7.31299999999999","-23.6","0.2506255704","2.5597756370642","0.877972648156371","15.086592951336",
"3/20/2013","-108.75","55.1083984375","541","-7.96499999999998","-13.865","2.2590652968","7.55752562296943","0.922324509294577","11.2036834262736",
"3/21/2013","-108.75","55.1083984375","541","-8.68700000000001","-12.104","7.62176304","5.5901732527625","0.930042175451336","7.7539215808224",
"3/22/2013","-108.75","55.1083984375","541","-7.52300000000002","-9.99799999999999","6.31885356","2.09486708261936","0.945887141452139","8.3346962972436",
"3/23/2013","-108.75","55.1083984375","541","-6.36399999999998","-15.398","0.9441375408","1.41974715547107","0.928524091802304","12.5813713308804",
"3/24/2013","-108.75","55.1083984375","541","-5.31299999999999","-18.555","0.4154205888","2.04565615946788","0.930642543206465","14.6316452017752",
"3/25/2013","-108.75","55.1083984375","541","-4.25099999999998","-16.117","0.2094268464","2.42842834095134","0.927323683268186","16.6254051476088",
"3/26/2013","-108.75","55.1083984375","541","-5.59100000000001","-11.431","0.762176376","3.04671805161659","0.951351746163968","13.1439007947708",
"3/27/2013","-108.75","55.1083984375","541","0.153999999999996","-7.62200000000001","1.005935652","3.55709012284837","0.975234922666502","7.8149912017896",
"3/28/2013","-108.75","55.1083984375","541","0.797000000000025","0.271999999999991","1.450539288","2.12687270257023","0.996966502872176","6.101372089098",
"3/29/2013","-108.75","55.1083984375","541","0.504000000000019","-2.089","0.9544370688","2.44991787130223","0.983078647825655","13.5756967085604",
"3/30/2013","-108.75","55.1083984375","541","-0.805000000000007","-8.44","0.8171078184","2.59304982963539","0.959072579197179","15.232754256264",
"3/31/2013","-108.75","55.1083984375","541","-2.68099999999998","-12.095","2.8530125352","2.30115872160747","0.95548462212027","8.6913183203316",
"4/1/2013","-108.75","55.1083984375","541","-0.620000000000005","-11.031","1.280594088","1.60082189618693","0.969043790749066","11.17389482154",
"4/2/2013","-108.75","55.1083984375","541","0.814999999999998","-4.70699999999999","3.00579156","5.11947941814648","0.984379780971538","6.973670428632",
"4/3/2013","-108.75","55.1083984375","541","0.507000000000005","-6.993","1.259994312","5.22248479242897","0.951911435494273","12.782844609408",
"4/4/2013","-108.75","55.1083984375","541","-3.10500000000002","-11.198","0.9012222144","2.3651171788808","0.94803627235902","13.864946464764",
"4/5/2013","-108.75","55.1083984375","541","-2.20600000000002","-7.529","4.76188668","3.71959871086021","0.968231192866538","8.94546027882",
"4/6/2013","-108.75","55.1083984375","541","-5.73399999999998","-10.414","1.78184376","3.64600164840363","0.950767962193765","13.685728648536",
"4/7/2013","-108.75","55.1083984375","541","-8.971","-16.047","0.566482788","3.46539930970878","0.907345068602172","18.87355129176",
"4/8/2013","-108.75","55.1083984375","541","-3.56700000000001","-21.158","0.6299978328","2.14328081543154","0.927115260754696","17.4127244407992",
"4/9/2013","-108.75","55.1083984375","541","-1.16199999999998","-8.46499999999998","0.348472584","2.84504015959543","0.956737578886156","16.454552309964",
