"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2013","-104.061996459961","54.1716995239258","402","-2.62","-14.322","3.301907436","3.57080623409631","0.953834739965046","1.521245446776",
"1/2/2013","-104.061996459961","54.1716995239258","402","-8.55599999999998","-16.278","0.6274224072","4.05184578485197","0.904401267800733","3.147997915296",
"1/3/2013","-104.061996459961","54.1716995239258","402","-1.065","-9.59500000000003","0.1579285008","6.36975947228821","0.965879278594685","3.024510339096",
"1/4/2013","-104.061996459961","54.1716995239258","402","-4.738","-13.898","0.43945308","2.4848734614542","0.948820711475514","2.588039905284",
"1/5/2013","-104.061996459961","54.1716995239258","402","-8.06900000000002","-13.277","0.539875008","2.4688093866533","0.94283507798867","2.80232463348",
"1/6/2013","-104.061996459961","54.1716995239258","402","-6.83800000000002","-9.21100000000001","5.580707256","2.99945183667544","0.965311581207015","1.037873775816",
"1/7/2013","-104.061996459961","54.1716995239258","402","-7.279","-9.12200000000001","1.686572964","3.71213426662532","0.957282695900064","2.675122965144",
"1/8/2013","-104.061996459961","54.1716995239258","402","-6.36000000000001","-10.26","1.83162744","3.50680573719683","0.958190791189284","2.229039445932",
"1/9/2013","-104.061996459961","54.1716995239258","402","-10.815","-15.475","2.1423381912","2.92505341244053","0.917781641225317","2.595911385168",
"1/10/2013","-104.061996459961","54.1716995239258","402","-12.995","-21.284","1.332091044","4.73129325068267","0.878890444563794","3.22637106834",
"1/11/2013","-104.061996459961","54.1716995239258","402","-19.174","-27.742","0.0017166132","2.75777371770969","0.792286648506159","4.23032073228",
"1/12/2013","-104.061996459961","54.1716995239258","402","-17.204","-24.029","0.09956358","3.32408568030416","0.80730422704209","4.3208987669244",
"1/13/2013","-104.061996459961","54.1716995239258","402","-22.572","-29.293","0.0978469164","3.52109976477473","0.780282062541972","4.550313160152",
"1/14/2013","-104.061996459961","54.1716995239258","402","-18.085","-30.365","0.2969743644","2.51154587452861","0.774598927037848","4.757971237236",
